[[0.01, 0.015, 0.015, 0.035], [33, 66]]
[[0.0, 0.02, 0.005, 0.035], [33, 66]]
[[0.005, 0.015, 0.02, 0.035], [26, 73]]
[[0.005, 0.005, 0.0, 0.02], [33, 66]]
[[0.015, 0.015, 0.005, 0.01], [66, 33]]
[[0.01, 0.03, 0.025, 0.01], [53, 46]]
[[0.08, 0.015, 0.0, 0.025], [79, 20]]
[[0.095, 0.015, 0.05, 0.01], [64, 35]]
[[0.115, 0.0, 0.085, 0.035], [48, 51]]
[[0.125, 0.0, 0.06, 0.01], [64, 35]]
[[0.08, 0.0, 0.085, 0.015], [44, 55]]
[[0.135, 0.005, 0.055, 0.02], [65, 34]]
[[0.135, 0.02, 0.06, 0.005], [70, 29]]
[[0.12, 0.035, 0.035, 0.01], [77, 22]]
[[0.075, 0.06, 0.04, 0.04], [62, 37]]
[[0.1, 0.095, 0.045, 0.065], [63, 36]]
[[0.085, 0.09, 0.095, 0.085], [49, 50]]
[[0.095, 0.055, 0.15, 0.125], [35, 64]]
[[0.115, 0.03, 0.155, 0.12], [34, 65]]
[[0.15, 0.01, 0.14, 0.16], [34, 65]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.01, 0.035, 0.02], [21, 78]]
[[0.025, 0.005, 0.015, 0.055], [30, 70]]
[[0.015, 0.01, 0.015, 0.07], [22, 77]]
[[0.04, 0.0, 0.03, 0.075], [27, 72]]
[[0.035, 0.01, 0.01, 0.085], [32, 67]]
[[0.075, 0.0, 0.01, 0.075], [46, 53]]
[[0.055, 0.02, 0.03, 0.055], [46, 53]]
[[0.06, 0.005, 0.015, 0.035], [56, 43]]
[[0.0, 0.02, 0.04, 0.02], [25, 75]]
[[0.01, 0.01, 0.005, 0.04], [30, 69]]
[[0.0, 0.005, 0.005, 0.035], [11, 88]]
[[0.05, 0.015, 0.015, 0.07], [43, 56]]
[[0.065, 0.015, 0.05, 0.03], [50, 50]]
[[0.11, 0.01, 0.0, 0.04], [75, 25]]
[[0.05, 0.01, 0.03, 0.03], [50, 50]]
[[0.12, 0.015, 0.01, 0.005], [89, 9]]
[[0.055, 0.065, 0.075, 0.0], [61, 38]]
[[0.065, 0.075, 0.055, 0.02], [65, 34]]
[[0.04, 0.115, 0.07, 0.015], [64, 35]]
[[0.065, 0.13, 0.05, 0.02], [73, 26]]
[[0.04, 0.135, 0.11, 0.01], [59, 40]]
[[0.055, 0.125, 0.125, 0.02], [55, 44]]
[[0.065, 0.12, 0.105, 0.005], [62, 37]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.01, 0.005, 0.01, 0.005], [50, 50]]
[[0.045, 0.005, 0.02, 0.025], [52, 47]]
[[0.02, 0.005, 0.02, 0.02], [38, 61]]
[[0.08, 0.0, 0.01, 0.015], [76, 23]]
[[0.0, 0.11, 0.045, 0.005], [68, 31]]
[[0.005, 0.12, 0.04, 0.015], [69, 30]]
[[0.01, 0.14, 0.06, 0.015], [66, 33]]
[[0.02, 0.14, 0.055, 0.025], [66, 33]]
[[0.025, 0.15, 0.06, 0.015], [70, 30]]
[[0.05, 0.135, 0.075, 0.02], [66, 33]]
[[0.035, 0.13, 0.05, 0.005], [75, 25]]
[[0.03, 0.155, 0.085, 0.005], [67, 32]]
[[0.025, 0.16, 0.075, 0.01], [68, 31]]
[[0.035, 0.165, 0.11, 0.035], [57, 42]]
[[0.06, 0.125, 0.09, 0.035], [59, 40]]
[[0.09, 0.13, 0.1, 0.005], [67, 32]]
[[0.085, 0.15, 0.06, 0.02], [74, 25]]
[[0.05, 0.16, 0.08, 0.005], [71, 28]]
[[0.045, 0.15, 0.095, 0.005], [66, 33]]
[[0.025, 0.16, 0.095, 0.04], [57, 42]]
[[0.06, 0.125, 0.08, 0.015], [66, 33]]
[[0.07, 0.105, 0.09, 0.015], [62, 37]]
[[0.045, 0.075, 0.09, 0.03], [50, 50]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.0, 0.02, 0.02, 0.015], [36, 63]]
[[0.01, 0.005, 0.01, 0.035], [24, 75]]
[[0.005, 0.045, 0.015, 0.03], [52, 47]]
[[0.015, 0.07, 0.01, 0.015], [77, 22]]
[[0.015, 0.075, 0.03, 0.0], [75, 25]]
[[0.02, 0.095, 0.035, 0.015], [69, 30]]
[[0.04, 0.075, 0.035, 0.005], [74, 25]]
[[0.025, 0.07, 0.055, 0.0], [63, 36]]
[[0.09, 0.02, 0.01, 0.02], [78, 21]]
[[0.055, 0.02, 0.04, 0.0], [65, 34]]
[[0.09, 0.0, 0.025, 0.015], [69, 30]]
[[0.115, 0.005, 0.09, 0.015], [53, 46]]
[[0.17, 0.02, 0.135, 0.03], [53, 46]]
[[0.18, 0.03, 0.165, 0.065], [47, 52]]
[[0.2, 0.015, 0.2, 0.105], [41, 58]]
[[0.17, 0.05, 0.17, 0.125], [42, 57]]
[[0.135, 0.08, 0.155, 0.135], [42, 57]]
[[0.105, 0.145, 0.165, 0.135], [45, 54]]
[[0.145, 0.17, 0.17, 0.15], [49, 50]]
[[0.13, 0.175, 0.165, 0.16], [48, 51]]
[[0.16, 0.16, 0.19, 0.145], [48, 51]]
[[0.145, 0.17, 0.19, 0.165], [47, 52]]
[[0.14, 0.195, 0.2, 0.145], [49, 50]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.0, 0.015, 0.01, 0.025], [30, 70]]
[[0.015, 0.01, 0.01, 0.03], [38, 61]]
[[0.0, 0.005, 0.01, 0.05], [7, 92]]
[[0.05, 0.0, 0.005, 0.07], [40, 60]]
[[0.025, 0.0, 0.015, 0.05], [27, 72]]
[[0.03, 0.01, 0.01, 0.07], [33, 66]]
[[0.075, 0.01, 0.025, 0.055], [51, 48]]
[[0.085, 0.01, 0.02, 0.055], [55, 44]]
[[0.11, 0.02, 0.025, 0.005], [81, 18]]
[[0.105, 0.05, 0.08, 0.0], [65, 34]]
[[0.115, 0.045, 0.125, 0.015], [53, 46]]
[[0.105, 0.045, 0.155, 0.02], [46, 53]]
[[0.12, 0.045, 0.135, 0.045], [47, 52]]
